amfi_code,date,nav,fetch_time
100033,10-06-2026,885.85000,2026-06-11 20:18:15.252909
101206,10-06-2026,4363.09820,2026-06-11 20:18:16.031946
101207,11-09-2006,10.06180,2026-06-11 20:18:16.738010
101208,11-09-2006,10.65660,2026-06-11 20:18:17.334377
102885,10-06-2026,304.08780,2026-06-11 20:18:18.069731
118632,10-06-2026,96.58620,2026-06-11 20:18:20.124497
118633,10-06-2026,96.58620,2026-06-11 20:18:20.853350
118634,10-06-2026,38.41610,2026-06-11 20:18:21.418351
118636,25-11-2016,1529.86570,2026-06-11 20:18:30.356576
119092,10-06-2026,6181.79670,2026-06-11 20:18:31.296331
119093,10-06-2026,1063.64000,2026-06-11 20:18:32.214975
119094,10-06-2026,1063.77900,2026-06-11 20:18:33.132212
119095,10-06-2026,37.86800,2026-06-11 20:18:33.989135
119120,10-06-2026,16.05310,2026-06-11 20:18:34.819094
119551,10-06-2026,105.65690,2026-06-11 20:18:35.559762
119552,10-06-2026,116.78250,2026-06-11 20:18:36.803329
119598,10-06-2026,100.34510,2026-06-11 20:18:37.403991
119599,22-07-2016,21.38570,2026-06-11 20:19:04.243618
120503,10-06-2026,103.18730,2026-06-11 20:19:04.949239
120504,10-06-2026,52.06000,2026-06-11 20:19:05.588748
120505,10-06-2026,134.32000,2026-06-11 20:19:06.292920
120506,10-06-2026,1012.20210,2026-06-11 20:19:06.952919
120507,10-06-2026,3337.89830,2026-06-11 20:19:07.610099
120841,10-06-2026,241.91860,2026-06-11 20:19:08.402790
120842,10-06-2026,80.12630,2026-06-11 20:19:09.122889
120843,10-06-2026,117.87710,2026-06-11 20:19:09.870212
120844,12-02-2021,17.33630,2026-06-11 20:19:10.474484
125497,10-06-2026,193.43710,2026-06-11 20:19:11.225625
125498,10-06-2026,3258.59110,2026-06-11 20:19:31.288928
148567,10-06-2026,28.97430,2026-06-11 20:19:31.910775
148569,10-06-2026,19.71730,2026-06-11 20:19:33.255888
149322,10-06-2026,15.57760,2026-06-11 20:19:33.923676
149323,10-06-2026,14.17350,2026-06-11 20:19:34.626438
149324,10-06-2026,15.09720,2026-06-11 20:19:35.170855
